finding_id,finding_date,source,account_id,account_name,region,resource_type,resource_id,resource_name,severity,title,description,compliance_standard,control_id,status,remediation,owner,estimated_effort_hrs,fca_relevant,notes
SF-001,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::IAM::User,arn:aws:iam::123456789012:user/deploy-svc,deploy-svc,CRITICAL,IAM user has active access keys older than 90 days,Service account using long-lived IAM user credentials. Keys last rotated 340 days ago.,AWS Foundational Security Best Practices,IAM.3,ACTIVE,Replace IAM user with IAM role and IRSA. Rotate keys immediately if cannot replace.,James Patel,4,YES,FCA SYSC 13 expects robust access key management
SF-002,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::S3::Bucket,arn:aws:s3:::tilington-temp-uploads-prod,tilington-temp-uploads-prod,CRITICAL,S3 bucket allows public read access,S3 bucket tilington-temp-uploads-prod has public read ACL enabled. May contain customer PII.,AWS Foundational Security Best Practices,S3.2,ACTIVE,Disable public access block. Enable S3 Block Public Access at account level.,Priya Sharma,2,YES,UK GDPR breach risk. Immediate action required. Emma Clarke notified.
SF-003,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::RDS::DBCluster,arn:aws:rds:eu-west-2:123456789012:cluster:tilington-customers-aurora,tilington-customers-aurora,HIGH,RDS cluster does not have deletion protection enabled,Aurora cluster can be deleted without additional confirmation. Contains production customer data.,AWS Foundational Security Best Practices,RDS.8,ACTIVE,Enable deletion protection on Aurora cluster.,James Patel,1,YES,FCA PS21/3 operational resilience - data loss risk
SF-004,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::EC2::SecurityGroup,sg-0abc123,eks-node-sg,HIGH,Security group allows unrestricted inbound SSH access (0.0.0.0/0),EKS node security group has port 22 open to 0.0.0.0/0.,AWS Foundational Security Best Practices,EC2.19,ACTIVE,Remove SSH rule. Use SSM Session Manager for node access instead.,James Patel,2,YES,NCSC Principle 9 - secure user management
SF-005,2026-01-08,Security Hub - CIS,123456789012,Production,eu-west-2,AWS::IAM::Policy,arn:aws:iam::123456789012:policy/TerraformDeployPolicy,TerraformDeployPolicy,HIGH,IAM policy uses wildcard (*) actions,Terraform deployment role has iam:* and ec2:* with no resource conditions.,CIS AWS Foundations Benchmark,1.16,ACTIVE,Replace wildcards with specific actions. Add resource ARN conditions.,James Patel,8,YES,
SF-006,2026-01-08,GuardDuty,123456789012,Production,eu-west-2,AWS::EC2::Instance,i-0abc123def456789,til-prod-app-01,HIGH,UnauthorizedAccess:EC2/SSHBruteForce,SSH brute force attack detected on til-prod-app-01 from 185.234.219.110 (known Tor exit node). 847 failed attempts in 10 minutes.,N/A,N/A,ACTIVE,Investigate. Add IP to WAF block list. Review security group (SF-004 related).,Priya Sharma,3,YES,Ongoing attack. Correlates with SF-004.
SF-007,2026-01-08,Security Hub - FSBP,234567890123,Non-Production,eu-west-2,AWS::EC2::Instance,i-0nonprod003,,HIGH,EC2 instance has no tags - unidentified resource,EC2 instance i-0nonprod003 has no Name Application Environment or Owner tags. Owner unknown.,AWS Foundational Security Best Practices,EC2.7,ACTIVE,Identify owner. Apply mandatory tags or terminate if orphaned.,James Patel,2,NO,Governance issue. See cost report - this instance costs $98.40/month with unknown owner.
SF-008,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::CloudTrail::Trail,arn:aws:cloudtrail:eu-west-2:123456789012:trail/tilington-audit-trail,tilington-audit-trail,HIGH,CloudTrail log file validation is not enabled,CloudTrail logs can be modified without detection. Required for FCA audit integrity.,AWS Foundational Security Best Practices,CloudTrail.4,ACTIVE,Enable log file validation on CloudTrail trail.,Priya Sharma,1,YES,FCA SYSC 9 - audit trail integrity
SF-009,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::KMS::Key,arn:aws:kms:eu-west-2:123456789012:key/abc-123,tilington-production-data,MEDIUM,KMS key rotation is not enabled,Customer managed KMS key has automatic rotation disabled. Annual rotation required.,AWS Foundational Security Best Practices,KMS.4,ACTIVE,Enable automatic key rotation on all CMKs.,Priya Sharma,1,YES,ISO 27001 A.10 cryptography control
SF-010,2026-01-08,Security Hub - FSBP,123456789012,Production,eu-west-2,AWS::VPC::VPC,vpc-0abc123,tilington-production-vpc,MEDIUM,VPC flow logs are not enabled,VPC flow logs disabled on production VPC. Cannot investigate network anomalies or FCA audit.,AWS Foundational Security Best Practices,EC2.6,ACTIVE,Enable VPC flow logs to CloudWatch or S3.,James Patel,2,YES,FCA operational risk - no network visibility
