app_id,app_name,depends_on_app_id,depends_on_app_name,dependency_type,protocol,port,direction,criticality,documented,notes
APP-001,Customer Portal,APP-012,Authentication Service,Auth,LDAPS,636,outbound,CRITICAL,YES,All logins via til-auth-01
APP-001,Customer Portal,ORCL-01,Oracle customer DB,Database,JDBC,1521,outbound,CRITICAL,YES,Primary data store
APP-001,Customer Portal,APP-005,Email Notification Service,Async,SMTP,25,outbound,HIGH,YES,Sends confirmation emails
APP-001,Customer Portal,APP-006,Document Management System,Sync,HTTPS,443,outbound,HIGH,PARTIAL,KYC document upload
APP-001,Customer Portal,APP-022,Customer Onboarding Portal,Shared DB,JDBC,1521,outbound,HIGH,NO,Share ORCL-01 - undocumented
APP-001,Customer Portal,APP-016,Payments Gateway,API,HTTPS,8443,outbound,CRITICAL,YES,Initiate payments
APP-001,Customer Portal,APP-017,Mobile Banking App Backend,Shared Code,N/A,N/A,bidirectional,MEDIUM,NO,Shared auth library - undocumented coupling
APP-002,Trade Processing Engine,ORCL-02,Oracle trade DB,Database,JDBC,1521,outbound,CRITICAL,YES,Primary trade store
APP-002,Trade Processing Engine,APP-012,Authentication Service,Auth,LDAPS,636,outbound,CRITICAL,YES,
APP-002,Trade Processing Engine,APP-007,FX Rate Feed,API,HTTP,8080,inbound,CRITICAL,YES,Requires live FX rates for execution
APP-002,Trade Processing Engine,APP-021,Trade Confirmation Engine,Async,MQ,1414,outbound,CRITICAL,YES,IBM MQ Series
APP-002,Trade Processing Engine,APP-018,Internal Audit System,Async,MQ,1414,outbound,HIGH,NO,Audit events - undocumented
APP-002,Trade Processing Engine,APP-016,Payments Gateway,API,HTTPS,8443,outbound,CRITICAL,YES,Settlement payments
APP-002,Trade Processing Engine,APP-003,Risk Calculation Engine,Async,File share,445,bidirectional,HIGH,NO,File-based integration - risky
APP-003,Risk Calculation Engine,ORCL-05,Oracle risk DB,Database,JDBC,1521,outbound,CRITICAL,YES,
APP-003,Risk Calculation Engine,APP-002,Trade Processing Engine,File,SMB,445,inbound,HIGH,NO,Receives position files via file share
APP-003,Risk Calculation Engine,APP-007,FX Rate Feed,API,HTTP,8080,inbound,CRITICAL,YES,FX rates for risk calcs
APP-003,Risk Calculation Engine,ORCL-04,Oracle reporting DB,Database,JDBC,1521,outbound,MEDIUM,NO,Writes risk results to reporting DB
APP-004,Internal Reporting Portal,MSSQL-01,SQL Server reporting,Database,JDBC,1433,outbound,HIGH,YES,
APP-004,Internal Reporting Portal,ORCL-04,Oracle reporting DB,Database,JDBC,1521,outbound,HIGH,NO,Also reads Oracle - undocumented
