server_id,hostname,dc_location,rack,os,os_version,os_eosl,virtualisation,vcpus,ram_gb,disk_gb,role,applications,primary_database,network_zone,ip_address,patch_status,last_patched,monitoring,backup_policy,owner,notes
SRV-001,til-web-01,DC1-London,R01,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,8,200,Web Server,APP-001 APP-022,None,DMZ,10.10.1.10,CRITICAL - 47 patches pending,2024-09-15,Nagios,Daily,David Okafor,Customer Portal web tier. EOL OS. Urgent.
SRV-002,til-web-02,DC1-London,R01,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,8,200,Web Server,APP-001 APP-022,None,DMZ,10.10.1.11,CRITICAL - 47 patches pending,2024-09-15,Nagios,Daily,David Okafor,Customer Portal web tier. EOL OS.
SRV-003,til-app-01,DC1-London,R02,RHEL,8.6,,VMware vSphere 6.7,8,32,500,App Server,APP-001 APP-017,Oracle 19c (ORCL-01),App,10.10.2.10,OK,2025-11-20,Nagios,Daily,Michael Evans,Customer platform app tier
SRV-004,til-app-02,DC1-London,R02,RHEL,8.6,,VMware vSphere 6.7,8,32,500,App Server,APP-001 APP-017,Oracle 19c (ORCL-01),App,10.10.2.11,OK,2025-11-20,Nagios,Daily,Michael Evans,Customer platform app tier
SRV-005,til-app-03,DC1-London,R02,RHEL,8.6,,VMware vSphere 6.7,8,32,500,App Server,APP-001 APP-022,Oracle 19c (ORCL-01),App,10.10.2.12,WARNING - 12 patches pending,2025-09-10,Nagios,Daily,Michael Evans,Customer platform app tier
SRV-006,til-db-01,DC1-London,R03,RHEL,8.6,,Physical (bare metal),32,256,20000,Database Server,ORCL-01,Oracle 19c,Data,10.10.3.10,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle primary - customer/accounts. Physical server. CRITICAL.
SRV-007,til-db-02,DC1-London,R03,RHEL,8.6,,Physical (bare metal),32,256,20000,Database Server,ORCL-01,Oracle 19c,Data,10.10.3.11,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle standby - customer/accounts. Physical server.
SRV-008,til-db-03,DC1-London,R04,RHEL,8.6,,Physical (bare metal),32,256,16000,Database Server,ORCL-02,Oracle 19c,Data,10.10.3.20,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle primary - trade processing. CRITICAL.
SRV-009,til-db-04,DC1-London,R04,RHEL,8.6,,Physical (bare metal),32,256,16000,Database Server,ORCL-02,Oracle 19c,Data,10.10.3.21,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle standby - trade processing.
SRV-010,til-db-05,DC1-London,R04,Windows Server,2019,,VMware vSphere 6.7,16,64,4000,Database Server,MSSQL-01,SQL Server 2016,Data,10.10.3.30,WARNING - 8 patches pending,2025-10-05,SCOM,Daily,Michael Evans,SQL Server - reporting portal
SRV-011,til-db-06,DC1-London,R04,Windows Server,2019,,VMware vSphere 6.7,16,64,4000,Database Server,MSSQL-02,SQL Server 2016,Data,10.10.3.31,OK,2025-11-15,SCOM,Daily,Michael Evans,SQL Server - HR portal
SRV-012,til-db-07,DC1-London,R05,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,8,32,2000,Database Server,MYSQL-01,MySQL 5.7,Data,10.10.3.40,CRITICAL - 52 patches pending,2024-08-20,Nagios,Daily,Michael Evans,MySQL - email notifications. EOL OS + EOL DB.
SRV-013,til-trade-01,DC1-London,R05,Windows Server,2012 R2,EOL-Oct-2023,VMware vSphere 6.7,16,64,1000,App Server,APP-002,Oracle 19c (ORCL-02),App,10.10.2.20,CRITICAL - EOL OS,2023-10-10,SCOM,Daily,Michael Evans,Trade processing engine. EOL OS. CRITICAL RISK.
SRV-014,til-trade-02,DC1-London,R05,Windows Server,2012 R2,EOL-Oct-2023,VMware vSphere 6.7,16,64,1000,App Server,APP-002,Oracle 19c (ORCL-02),App,10.10.2.21,CRITICAL - EOL OS,2023-10-10,SCOM,Daily,Michael Evans,Trade processing engine. EOL OS.
SRV-015,til-trade-03,DC1-London,R06,Windows Server,2012 R2,EOL-Oct-2023,VMware vSphere 6.7,16,64,1000,App Server,APP-021,Oracle 19c (ORCL-02),App,10.10.2.22,CRITICAL - EOL OS,2023-10-10,SCOM,Daily,Michael Evans,Trade confirmation engine. EOL OS.
SRV-016,til-risk-01,DC1-London,R06,RHEL,8.6,,VMware vSphere 6.7,32,128,2000,App Server,APP-003,Oracle 19c (ORCL-05),App,10.10.2.30,OK,2025-11-20,Nagios,Daily,Michael Evans,Risk calc engine. Heavy CPU. Long-running batch.
SRV-017,til-risk-02,DC1-London,R06,RHEL,8.6,,VMware vSphere 6.7,32,128,2000,App Server,APP-003,Oracle 19c (ORCL-05),App,10.10.2.31,OK,2025-11-20,Nagios,Daily,Michael Evans,Risk calc engine secondary
SRV-018,til-batch-01,DC1-London,R07,Windows Server,2012 R2,EOL-Oct-2023,VMware vSphere 6.7,8,32,500,Batch Server,APP-008 APP-023 APP-024,Oracle 19c (ORCL-04),App,10.10.2.40,CRITICAL - EOL OS,2023-10-10,SCOM,Daily,Michael Evans,Batch reporting and interest calc. EOL OS.
SRV-019,til-batch-02,DC1-London,R07,Windows Server,2012 R2,EOL-Oct-2023,VMware vSphere 6.7,8,32,500,Batch Server,APP-008 APP-027,Oracle 19c (ORCL-04),App,10.10.2.41,CRITICAL - EOL OS,2023-10-10,SCOM,Daily,Michael Evans,Batch legacy fund accounting. EOL OS. Is APP-027 still used?
SRV-020,til-auth-01,DC1-London,R07,Windows Server,2019,,VMware vSphere 6.7,8,32,500,Auth Server,APP-012,Active Directory,Infra,10.10.4.10,OK,2025-12-01,SCOM,Daily,Priya Sharma,Auth proxy - 25 downstream dependencies. CRITICAL.
SRV-021,til-auth-02,DC1-London,R07,Windows Server,2019,,VMware vSphere 6.7,8,32,500,Auth Server,APP-012,Active Directory,Infra,10.10.4.11,OK,2025-12-01,SCOM,Daily,Priya Sharma,Auth proxy standby
SRV-022,til-mq-01,DC1-London,R08,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,8,32,200,MQ Server,APP-013,None,App,10.10.2.50,CRITICAL - 43 patches pending,2024-10-05,Nagios,Daily,Michael Evans,IBM MQ Series - file transfer gateway. EOL OS.
SRV-023,til-web-03,DC1-London,R08,Windows Server,2019,,VMware vSphere 6.7,4,16,200,Web Server,APP-004,SQL Server 2016 (MSSQL-01),DMZ,10.10.1.20,OK,2025-11-01,SCOM,Daily,David Okafor,Reporting portal web server
SRV-024,til-web-04,DC1-London,R08,Windows Server,2019,,VMware vSphere 6.7,4,16,200,Web Server,APP-009,MySQL 5.7,DMZ,10.10.1.21,WARNING - 9 patches pending,2025-09-20,SCOM,Daily,Michael Evans,ITSM portal
SRV-025,til-ref-db-01,DC1-London,R09,RHEL,8.6,,Physical (bare metal),16,128,8000,Database Server,ORCL-03,Oracle 19c,Data,10.10.3.50,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle reference data (FX rates instruments). Physical.
SRV-026,til-ref-db-02,DC1-London,R09,RHEL,8.6,,Physical (bare metal),16,128,8000,Database Server,ORCL-03,Oracle 19c,Data,10.10.3.51,OK,2025-12-01,OEM,Continuous,Michael Evans,Oracle reference data standby.
SRV-027,til-mon-01,DC1-London,R09,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,16,500,Monitoring,APP-011,None,Infra,10.10.4.20,WARNING - 21 patches pending,2025-08-10,Self,Daily,Michael Evans,Nagios monitoring server. EOL OS.
SRV-028,til-compl-01,DC1-London,R10,RHEL,8.6,,VMware vSphere 6.7,8,32,500,App Server,APP-015,Oracle 19c (ORCL-01),App,10.10.2.60,OK,2025-11-20,Nagios,Daily,Emma Clarke,AML/PEP compliance screening. FCA critical.
SRV-029,til-onb-01,DC1-London,R10,RHEL,8.6,,VMware vSphere 6.7,8,32,500,App Server,APP-022,Oracle 19c (ORCL-01),DMZ,10.10.2.61,OK,2025-11-15,Nagios,Daily,David Okafor,Customer onboarding portal
SRV-030,til-doc-01,DC1-London,R10,Windows Server,2019,,VMware vSphere 6.7,8,32,10000,App Server,APP-006,SQL Server 2016 (MSSQL-03),App,10.10.2.62,WARNING - 15 patches pending,2025-10-10,SCOM,Daily,David Okafor,Document management. Large disk - KYC docs. Missing MSSQL-03 from inventory?
SRV-031,til-print-01,DC1-London,R11,Windows Server,2019,,VMware vSphere 6.7,4,16,200,App Server,APP-028,MySQL 5.7,App,10.10.2.63,OK,2025-11-01,SCOM,Daily,David Okafor,Print and correspondence system
SRV-032,til-ftg-01,DC1-London,R11,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,16,500,Integration,APP-013,None,DMZ,10.10.1.30,CRITICAL - 39 patches pending,2024-11-10,Nagios,Daily,Michael Evans,File transfer gateway. EOL OS. Ext-facing.
SRV-033,til-hr-01,DC1-London,R11,Windows Server,2019,,VMware vSphere 6.7,4,16,200,App Server,APP-010,MySQL 5.7,App,10.10.2.64,OK,2025-11-20,SCOM,Daily,HR Director,HR self-service portal
SRV-034,til-audit-01,DC1-London,R12,Windows Server,2019,,VMware vSphere 6.7,8,32,2000,App Server,APP-018,SQL Server 2016 (MSSQL-03),App,10.10.2.65,WARNING - 11 patches pending,2025-10-01,SCOM,Daily,Emma Clarke,Internal audit system. FCA critical.
SRV-035,til-nac-01,DC1-London,R12,Windows Server,2019,,Physical (bare metal),4,16,200,Network,APP-025,None,Infra,10.10.4.30,OK,2025-12-01,SCOM,Daily,Priya Sharma,NAC system. Physical - tied to DC fabric. Retain.
SRV-036,til-dr-01,DC1-London,R12,RHEL,8.6,,VMware vSphere 6.7,4,16,500,Management,APP-019,None,Infra,10.10.4.31,OK,2025-11-01,Nagios,Daily,Michael Evans,DR runbooks wiki server.
SRV-037,til-int-01,DC1-London,R13,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,16,200,Integration,APP-007,Oracle 19c (ORCL-03),App,10.10.2.70,WARNING - 19 patches pending,2025-07-15,Nagios,Daily,James Patel,FX rate feed integration. EOL OS.
SRV-038,til-int-02,DC1-London,R13,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,16,200,Integration,APP-016,Oracle 19c (ORCL-02),DMZ,10.10.1.31,CRITICAL - 44 patches pending,2024-09-01,Nagios,Daily,James Patel,Payments gateway. EOL OS. PCI scope.
SRV-039,til-mob-01,DC1-London,R13,RHEL,8.6,,VMware vSphere 6.7,8,32,500,App Server,APP-017,Oracle 19c (ORCL-01),DMZ,10.10.1.32,OK,2025-11-20,Nagios,Daily,David Okafor,Mobile banking API backend
SRV-040,til-mob-02,DC1-London,R13,RHEL,8.6,,VMware vSphere 6.7,8,32,500,App Server,APP-017,Oracle 19c (ORCL-01),DMZ,10.10.1.33,OK,2025-11-20,Nagios,Daily,David Okafor,Mobile banking API backend
SRV-041,til-mob-03,DC1-London,R14,RHEL,8.6,,VMware vSphere 6.7,8,32,500,App Server,APP-017,Oracle 19c (ORCL-01),DMZ,10.10.1.34,WARNING - 7 patches pending,2025-10-15,Nagios,Daily,David Okafor,Mobile banking API backend
SRV-042,til-stmnt-01,DC1-London,R14,RHEL,7.9,EOL-Jun-2024,VMware vSphere 6.7,4,16,500,Batch,APP-024,Oracle 19c (ORCL-01),App,10.10.2.71,CRITICAL - 36 patches pending,2024-12-05,Nagios,Daily,David Okafor,Statement generator. EOL OS.
SRV-043,til-backup-01,DC1-London,R14,RHEL,8.6,,Physical (bare metal),8,64,50000,Backup,All DC1,None,Infra,10.10.4.40,OK,2025-12-01,Nagios,N/A,Michael Evans,Veeam backup server. Physical. Large NAS backing.
SRV-044,til-fw-01,DC1-London,R15,N/A,N/A,,Physical (appliance),N/A,N/A,N/A,Firewall,All DC1 traffic,None,Infra,10.10.0.1,OK,2025-12-01,N/A,N/A,Priya Sharma,Palo Alto PA-5220 (primary)
SRV-045,til-fw-02,DC1-London,R15,N/A,N/A,,Physical (appliance),N/A,N/A,N/A,Firewall,All DC1 traffic,None,Infra,10.10.0.2,OK,2025-12-01,N/A,N/A,Priya Sharma,Palo Alto PA-5220 (secondary/HA pair)
SRV-046,til-lb-01,DC1-London,R15,N/A,N/A,,Physical (appliance),N/A,N/A,N/A,Load Balancer,All DMZ apps,None,DMZ,10.10.0.10,OK,2025-12-01,N/A,N/A,Michael Evans,F5 BIG-IP LTM (primary)
SRV-047,til-lb-02,DC1-London,R15,N/A,N/A,,Physical (appliance),N/A,N/A,N/A,Load Balancer,All DMZ apps,None,DMZ,10.10.0.11,OK,2025-12-01,N/A,N/A,Michael Evans,F5 BIG-IP LTM (secondary)
SRV-048,til-ad-01,DC1-London,R16,Windows Server,2019,,VMware vSphere 6.7,4,16,200,Domain Controller,Infrastructure,Active Directory,Infra,10.10.4.50,OK,2025-12-01,SCOM,Daily,Priya Sharma,AD Domain Controller primary
SRV-049,til-ad-02,DC1-London,R16,Windows Server,2019,,VMware vSphere 6.7,4,16,200,Domain Controller,Infrastructure,Active Directory,Infra,10.10.4.51,OK,2025-12-01,SCOM,Daily,Priya Sharma,AD Domain Controller secondary
SRV-050,til-dns-01,DC1-London,R16,Windows Server,2019,,VMware vSphere 6.7,2,8,100,DNS,Infrastructure,None,Infra,10.10.4.52,OK,2025-12-01,SCOM,Daily,Priya Sharma,Internal DNS primary
