app_id,app_name,recommended_wave,wave_rationale,6r_strategy,migration_complexity,fca_critical,dependencies_count,dependency_risk,dc_server_ids,estimated_migration_effort_days,estimated_cutover_window_hrs,pre_migration_tasks,owner,candidate_notes
APP-020,Capacity Planning Tool,0 - Retire,Excel spreadsheet with no real users. AWS Cost Explorer replaces it.,Retire,None,NO,0,None,SRV-090,1,N/A,Document retirement decision,Michael Evans,Retire immediately. No migration needed.
APP-009,IT Service Management Portal,0 - Repurchase,No business differentiation. ServiceNow or Jira Service Management available.,Repurchase,LOW,NO,1,Low,SRV-024,5,N/A,Evaluate ServiceNow vs Jira. Data export.,Michael Evans,Business sign-off needed on tool choice.
APP-010,HR Portal,0 - Repurchase,Workday or similar SaaS covers all functionality.,Repurchase,LOW,NO,2,Low,SRV-033,5,N/A,Evaluate Workday. HR Director approval.,HR Director,Budget impact: SaaS licence vs current.
APP-019,DR Runbooks,0 - Repurchase,Confluence Cloud preferred. Content migration trivial.,Repurchase,LOW,NO,1,Low,SRV-036,2,N/A,Export content to Confluence Cloud.,Michael Evans,Free tier likely sufficient.
APP-011,Network Monitoring Dashboard,1 - Non-Critical Internal,Simple Nagios. No DB. Low risk rehost.,Rehost,LOW,NO,1,Low,SRV-027,3,2,Set up CloudWatch replacement or Nagios EC2.,Michael Evans,Consider retiring Nagios in favour of CloudWatch natively.
APP-005,Email Notification Service,1 - Non-Critical Internal,Low risk. Simple schema. Refactor to Notifications microservice. Good first cloud-native workload.,Refactor,MEDIUM,NO,4,Medium,SRV-012 SRV-077,10,4,MySQL schema export. Microservice design. DynamoDB NotificationDelivery table.,James Patel,Good pilot for microservices approach. EOL OS must be replaced.
APP-004,Internal Reporting Portal,2 - Internal Business,Moderate risk. SQL Server dependency. Not customer-facing.,Replatform,MEDIUM,NO,3,Medium,SRV-010 SRV-023,15,6,SQL Server to Aurora PostgreSQL schema conversion. Confirm ORCL-04 read dependency.,David Okafor,Undocumented ORCL-04 dependency must be resolved first.
APP-023,Interest Rate Calculator,2 - Internal Business,Low criticality batch job. Nightly only.,Replatform,LOW,YES,2,Low,SRV-018,8,2,Batch rewrite as Lambda or ECS task. Confirm undocumented ORCL-01 read.,Sarah Williams,ORCL-01 dependency must be confirmed and designed out.
APP-014,Data Quality Tool,2 - Internal Business,EOL OS. Low user count. Assess retire vs replatform.,Replatform or Retire,LOW,NO,4,Medium,SRV-063,10,4,Review if functionality covered by DMS validation or custom Lambda.,Michael Evans,Strong retire candidate if functionality replaced by DMS during Oracle migration.
APP-028,Printing and Correspondence,2 - Internal Business,Batch only. Contains PII - data residency controls needed.,Replatform,MEDIUM,NO,3,Medium,SRV-031,12,4,Evaluate AWS Transfer Family for SFTP. S3 for output storage.,David Okafor,PII in output files - S3 bucket policy and KMS required.
APP-013,File Transfer Gateway,2 - Internal Business,SFTP gateway. External counterparty dependencies.,Rehost then Replatform,MEDIUM,YES,2,Medium,SRV-022 SRV-032 SRV-089,12,4,AWS Transfer Family evaluation. Counterparty coordination required.,Michael Evans,EOL OS on SRV-032. External party testing window needed.
APP-025,Network Access Control System,Retain - Wave 5,Physical NAC tied to DC fabric. Cannot migrate until DC exit.,Retain,HIGH,NO,2,High,SRV-035,N/A,N/A,Design cloud replacement (AWS Network Firewall + IAM Identity Centre).,Priya Sharma,Must have cloud replacement designed before DC decommission.
APP-026,Physical Security Integration,Retire with DC,CCTV and access control tied to DC physical infrastructure.,Retire,None,NO,1,None,N/A,1,N/A,Coordinate with facilities team for DC decommission.,Priya Sharma,Decommissions automatically when DC exits.
APP-018,Internal Audit System,3 - Business Critical,FCA audit trail. High write volume. Good DynamoDB candidate.,Refactor,HIGH,YES,3,High,SRV-034,20,6,Design DynamoDB AuditTrail table. Resolve MSSQL-03 mystery. Event sourcing design.,Emma Clarke,MSSQL-03 not in server inventory - blocker. FCA sign-off needed on new architecture.
APP-024,Statement Generator,3 - Business Critical,Customer PII. Batch. Refactor to ECS or Lambda.,Replatform,MEDIUM,NO,2,Medium,SRV-042,12,4,S3 output with KMS. PDF generation framework. Email delivery.,David Okafor,EOL OS on SRV-042 - must move quickly.
APP-021,Trade Confirmation Engine,3 - Business Critical,SWIFT and DTCC external integrations. Testing window required.,Replatform,HIGH,YES,3,High,SRV-015,25,6,SWIFT connectivity testing. DTCC certification. EOL OS replacement.,Michael Evans,EOL OS. External vendor coordination adds 4-6 week lead time.
APP-007,FX Rate Feed,3 - Business Critical,CRITICAL dependency for APP-002 and APP-003. Must migrate before them.,Replatform,MEDIUM,YES,9,High,SRV-037 SRV-025 SRV-026,15,4,Refinitiv connectivity. Aurora PostgreSQL for ORCL-03.,James Patel,Must complete BEFORE APP-002 and APP-003. Migration order dependency.
APP-008,Batch Reporting Suite,3 - Business Critical,FCA regulatory returns. Verify if APP-027 duplicate.,Replatform,HIGH,YES,7,High,SRV-018 SRV-019,20,6,Confirm relationship with APP-027. RMAR reporting validation.,Michael Evans,APP-027 overlap must be resolved. FCA output validation essential.
APP-027,Legacy Fund Accounting,3 - Verify First,UNCLEAR IF STILL USED. Must verify before planning migration.,Verify then decide,UNKNOWN,YES,2,Unknown,SRV-019,?,?,Interview APP-002 team. Check Oracle session activity.,Sarah Williams,BLOCKER: Is this app still in use? Critical question for Phase 1 discovery.
APP-015,Compliance Screening,3 - Business Critical,FCA AML requirement. Third-party World-Check dependency.,Replatform,HIGH,YES,3,High,SRV-028 SRV-081,20,6,World-Check cloud connectivity. ORCL-01 read dependency design.,Emma Clarke,FCA notification required for outsourcing change. 8-week lead time.
APP-003,Risk Calculation Engine,4 - Business Critical,Heavy Oracle PL/SQL. Performance sensitive. Possible rewrite needed.,Refactor,VERY HIGH,YES,5,High,SRV-016 SRV-017,40,8,Oracle PL/SQL assessment. Performance benchmark. Possible Aurora PL/pgSQL rewrite.,Sarah Williams,File-based integration with APP-002 must be replaced with API or messaging.
APP-006,Document Management System,4 - Business Critical,KYC documents. FCA record keeping. MSSQL-03 mystery server.,Replatform,HIGH,YES,3,High,SRV-030,25,6,Resolve MSSQL-03 dependency. S3 for documents. Aurora for metadata.,David Okafor,MSSQL-03 not in server inventory. Discovery blocker.
APP-016,Payments Gateway,4 - Customer Facing (PCI),PCI DSS scope. VocaLink and SWIFT integrations. Highest risk.,Refactor,VERY HIGH,YES,5,Very High,SRV-038 SRV-074,45,8,PCI DSS assessment. VocaLink re-certification. SWIFT re-certification. WAF config.,James Patel,PCI QSA assessment required before go-live. 12-week certification lead time.
APP-002,Trade Processing Engine,4 - Business Critical,Core revenue workload. Must follow APP-007 migration.,Replatform,VERY HIGH,YES,12,Very High,SRV-008 SRV-009 SRV-013 SRV-014 SRV-062 SRV-065,50,8,Oracle stored procedure rewrite. SWIFT connectivity. File share replacement.,Michael Evans,APP-007 must complete first. IBM MQ to Amazon MQ migration.
APP-022,Customer Onboarding Portal,4 - Customer Facing,External-facing. FCA AML. Onfido integration.,Refactor,HIGH,YES,5,High,SRV-029,20,4,Onfido API integration. APP-015 dependency. EKS microservice.,David Okafor,Part of microservices refactor with APP-001.
APP-017,Mobile Banking App Backend,4 - Customer Facing,60% of customer interactions. Highest traffic.,Refactor,HIGH,YES,5,High,SRV-039 SRV-040 SRV-041,25,4,EKS autoscaling. Performance testing at 2x expected load.,David Okafor,Shares ORCL-01 dependency with APP-001. Coordinate migration timing.
APP-001,Customer Portal,5 - Customer Facing,Flagship customer app. Final migration. All deps must be in AWS first.,Refactor,HIGH,YES,8,Very High,SRV-001 SRV-002 SRV-003 SRV-004 SRV-005,30,6,All 8 dependencies must be in AWS first. Load testing. FCA operational resilience test.,David Okafor,Cannot migrate until APP-012 APP-016 APP-006 APP-022 APP-017 all complete.
APP-012,Authentication Service,2 - Foundation,25 dependencies. Must migrate early. AWS IAM Identity Centre target.,Replatform,HIGH,YES,25,Very High,SRV-020 SRV-021 SRV-064,30,8,IAM Identity Centre config. Azure AD federation. All 25 apps must test auth.,Priya Sharma,CRITICAL PATH. All apps depend on this. Must be wave 2 foundation. Parallel run required.
